# === Perturbative settings ===
# Settings: lopc (scheme), lobk, balsdrc
# Use masses: true, scheme:3
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    2 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 3 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   2 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 1e+08, Cuba perf scheme = 0
# config::INTACCURACY = 0.01, config::RPOINTS = 100, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
16
# === Initial parameters ===
# qs0sqr=0.104, alphas_scaling=14.5, gamma=1, e_c=1, icx0_nlo_impfac=1, icx0_bk=0.01, icY0=0, icTypPartonVirtQ0sqr=1, sigma02=48.4781, q_mass_c=1.4, q_mass_b=4.9
# Previously saved dipole file found: ./out/dipoles/dipole_lobk_balsdrc_x0bk0.010000_qs0sqr0.104000_asC^214.500000_gamma1.000000_ec1.000000_eta00.000000_maxy16.118096_euler0_step0.400000_rpoints100_rminmax0.000001--30.000000_intacc0.010000
# pr_r*=std::pow((nlodis_config::MAXR/nlodis_config::MINR),1/500.)
          # xbj               r        S(r,xbj)
# printing dipole at xbj=0.01
# printing dipole at xbj=0.008
# printing dipole at xbj=0.005
# printing dipole at xbj=0.0032
# printing dipole at xbj=0.002
# printing dipole at xbj=0.001
# printing dipole at xbj=0.0008
# printing dipole at xbj=0.0001
# printing dipole at xbj=1e-05
# Using smallest dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
# === Computing Reduced Cross sections ===
          # xbj             Q^2               y         sigma_r           FL_LO           FT_LO 
           0.01         6.41303      0.00630205        0.577817       0.0987749        0.479044 
         0.0008        0.377465      0.00463666        0.233368       0.0372309        0.196137 
          0.002          1.2662      0.00622143        0.403467       0.0721982        0.331271 
          0.005        0.569918      0.00112011        0.224815       0.0391793        0.185635 
          0.008         21.5124       0.0264252         0.93814        0.160204        0.777993 
          0.005        0.256521     0.000504164        0.139404        0.021366        0.118038 
          0.001         2.81314       0.0276446        0.689053        0.122629        0.566473 
         0.0001         0.83862       0.0824108        0.532636        0.090354        0.442615 
         0.0001        0.377465       0.0370933        0.315294       0.0481904        0.267138 
          0.008         1.91178      0.00234837        0.373524       0.0667607        0.306764 
          0.001          31.655        0.311072         1.87258        0.340593         1.55433 
         0.0032        0.256521     0.000787757        0.148235       0.0224802        0.125755 
         0.0032        0.569918      0.00175017         0.24167       0.0418197        0.199851 
          0.001         9.43662       0.0927331         1.19087        0.211743        0.980123 
          0.001          1.2662       0.0124429        0.458686       0.0816073        0.377085 
          1e-05        0.377465        0.370933        0.421453       0.0620708        0.365501 
          1e-05         0.83862        0.824108        0.668332        0.122153         0.62665 
          0.002        0.256521      0.00126041         0.15828       0.0237414        0.134538 
         0.0032         4.24744       0.0130436        0.646679        0.113744        0.532945 
          0.002        0.569918      0.00280028         0.26078       0.0447883        0.215992 
           0.01        0.387311     0.000380609        0.162601       0.0274078        0.135193 
         0.0008         2.81314       0.0345557        0.721122        0.128327        0.592875 
          0.001        0.256521      0.00252082         0.17455       0.0257627        0.148788 
          0.005         1.91178      0.00375739        0.411877       0.0737214        0.338156 
         0.0008          1.2662       0.0155536        0.477674       0.0848143         0.39287 
          0.008         6.41303      0.00787757         0.61254        0.105295        0.507248 
           0.01        0.860496     0.000845605        0.247562       0.0445442        0.203018 
          0.005          14.248       0.0280028        0.930682        0.161105        0.769642 
          0.008        0.387311     0.000475761        0.168047       0.0281967        0.139851 
         0.0008        0.256521      0.00315103        0.180115       0.0264476        0.153668 
          0.001        0.569918      0.00560056        0.291692       0.0495241        0.242169 
          0.005         47.7945       0.0939348         1.37836        0.237426         1.14209 
         0.0001        0.256521       0.0252082        0.239447       0.0335063        0.205951 
         0.0001          1.2662        0.124429        0.683702        0.118884         0.56586 
          0.005        0.387311     0.000761217        0.180099       0.0299368        0.150162 
         0.0001         2.81314        0.276446         1.06742         0.19035         0.88662 
          0.008          72.163       0.0886427          1.3402        0.224952         1.11621 
         0.0008         9.43662        0.115916         1.25435        0.223699         1.03234 
         0.0008        0.569918       0.0070007        0.302291       0.0511309        0.251162 
          0.002         4.24744       0.0208697        0.719124        0.126999        0.592153 
          0.008        0.860496      0.00105701         0.25769       0.0462737        0.211416 
         0.0032         1.91178      0.00587093        0.451255       0.0807812        0.370475 
          1e-05        0.256521        0.252082        0.318151        0.042282        0.277592 
          0.005         21.5124       0.0422803         1.07283        0.185877        0.887121 
         0.0032        0.387311       0.0011894        0.192534       0.0317207        0.160814 
           0.01         108.956         0.10707         1.38488         0.22726         1.15907 
         0.0001        0.569918       0.0560056        0.416187       0.0678875        0.348412 
           0.01        0.263213     0.000258658        0.129106       0.0202462        0.108859 
         0.0008          31.655         0.38884         1.96857        0.362465         1.64601 
           0.01         1.29923      0.00127674        0.300352       0.0541484        0.246204 
          0.005         6.41303       0.0126041        0.689382        0.119668        0.569724 
          0.005        0.860496      0.00169121        0.280016       0.0500585        0.229958 
          0.002        0.387311      0.00190304        0.206649       0.0337302        0.172919 
          0.008        0.263213     0.000323322         0.13303       0.0207465        0.112283 
          1e-05        0.569918        0.560056        0.551102       0.0895798        0.485064 
          0.002         1.91178      0.00939348        0.495947       0.0887125        0.407239 
           0.01         2.88652      0.00283657        0.423104       0.0743184        0.348786 
          0.001         4.24744       0.0417394        0.837833        0.148575        0.689393 
          0.005        0.263213     0.000517316        0.141742       0.0218575        0.119884 
          0.001        0.387311      0.00380609        0.229476       0.0369404        0.192536 
         0.0032          14.248       0.0437544         1.04817        0.183379         0.86497 
         0.0032        0.860496      0.00264252        0.302931       0.0539041        0.249027 
         0.0001         9.43662        0.927331         1.67928        0.359195         1.62735 
          0.008         1.29923      0.00159593        0.313874       0.0565611        0.257313 
           0.01        0.584785     0.000574665        0.203739       0.0359558        0.167783 
         0.0032        0.263213     0.000808306        0.150768       0.0230067        0.127761 
         0.0008        0.387311      0.00475761        0.237294        0.038028        0.199267 
          0.001         1.91178        0.018787        0.568655        0.101471        0.467201 
          0.002        0.860496      0.00422803        0.328886       0.0582089        0.270678 
          0.002        0.263213      0.00129329        0.161034       0.0243073        0.136727 
          0.008        0.584785     0.000718331        0.211315        0.037169        0.174146 
         0.0001        0.387311       0.0380609        0.320964       0.0492973        0.271704 
         0.0032         6.41303       0.0196939        0.768811        0.134441        0.634396 
         0.0032         47.7945        0.146773         1.56927        0.274183          1.2985 
          0.005         1.29923      0.00255349        0.343653       0.0618368        0.281816 
          0.008         2.88652      0.00354571        0.445488       0.0784711        0.367017 
         0.0008         4.24744       0.0521742        0.878956        0.156014        0.723166 
          0.001        0.263213      0.00258658         0.17766       0.0263909        0.151269 
         0.0032         21.5124       0.0660629         1.21348        0.212745         1.00123 
          1e-05        0.387311        0.380609        0.429068       0.0635887        0.372137 
          0.001        0.860496      0.00845605        0.370905       0.0650824        0.305825 
          0.005        0.584785      0.00114933        0.228031       0.0398307        0.188201 
         0.0008         1.91178       0.0234837        0.593725        0.105833        0.487922 
         0.0008        0.263213      0.00323322        0.183348        0.027097        0.156251 
           0.01        0.397414     0.000390537        0.165005       0.0279178        0.137087 
           0.01         32.4807       0.0319186        0.995998        0.168254        0.827833 
          0.005          72.163        0.141828         1.54953        0.264597         1.28799 
         0.0032         1.29923      0.00398983        0.374207       0.0671842        0.307023 
         0.0001        0.263213       0.0258658        0.243991       0.0343734        0.209629 
         0.0032        0.584785      0.00179583        0.245227       0.0425416        0.202685 
          0.002          14.248        0.070007         1.18327        0.209016        0.974807 
         0.0008        0.860496       0.0105701        0.385335       0.0674185         0.31792 
           0.01         9.68278      0.00951521        0.671255        0.114038        0.557222 
          0.008        0.397414     0.000488171         0.17057       0.0287296         0.14184 
          1e-05        0.263213        0.258658        0.324385       0.0434353        0.282825 
         0.0001         4.24744        0.417394         1.30901        0.238127         1.10186 
         0.0001         1.91178         0.18787        0.866171        0.152772        0.716649 
          0.005         2.88652      0.00567313         0.49485       0.0875593        0.407293 
          0.002         6.41303       0.0315103        0.859706        0.151278        0.708506 
          0.002        0.584785      0.00287333        0.264711       0.0455793        0.219132 
           0.01        0.270079     0.000265405        0.131187       0.0206921        0.110495 
         0.0001        0.860496       0.0845605        0.541228        0.091995        0.449591 
          0.005        0.397414     0.000781074        0.182878       0.0305195        0.152359 
          0.008         108.956        0.133838         1.49155        0.247088         1.24699 
          0.002         1.29923      0.00638372        0.408839         0.07318        0.335661 
          0.008        0.270079     0.000331756          0.1352       0.0212087        0.113991 
          0.001        0.584785      0.00574665         0.29624       0.0504331        0.245807 
          1e-05        0.860496        0.845605        0.674824         0.12458        0.637251 
         0.0032        0.397414      0.00122043        0.195575       0.0323534        0.163221 
           0.01         1.96165       0.0019277        0.360069       0.0642266        0.295843 
          0.005        0.270079      0.00053081        0.144107       0.0223553        0.121752 
          0.002         21.5124        0.105701         1.37546        0.243837         1.13313 
         0.0032         2.88652      0.00886427         0.54563       0.0968159        0.448818 
           0.01         4.35824      0.00428282        0.498658       0.0861948        0.412464 
          0.001         1.29923       0.0127674        0.465046       0.0827793        0.382274 
         0.0008        0.584785      0.00718331        0.307049       0.0520799        0.254971 
          0.002        0.397414      0.00195268        0.209984       0.0344187        0.175565 
          0.002         47.7945        0.234837         1.78673        0.317218         1.48054 
         0.0032        0.270079     0.000829391        0.153332       0.0235403        0.129791 
          0.001          14.248        0.140014         1.40625        0.251642         1.15745 
          0.001         6.41303       0.0630205         1.00919        0.178852        0.830719 
           0.01        0.882943     0.000867663        0.250674       0.0451317        0.205542 
          0.008         9.68278        0.011894        0.713805        0.122067        0.591747 
          0.001        0.397414      0.00390537        0.233287       0.0377168        0.195571 
         0.0001        0.584785       0.0574665        0.423255       0.0692619        0.354114 
          0.002        0.270079      0.00132703        0.163823       0.0248812        0.138942 
          0.008         1.96165      0.00240963        0.377764        0.067463        0.310301 
         0.0008         1.29923       0.0159593        0.484372        0.086051        0.398332 
          0.008         32.4807       0.0398983         1.06726        0.181852        0.885563 
          0.001        0.270079      0.00265405        0.180803       0.0270285        0.153775 
         0.0008        0.397414      0.00488171        0.241269       0.0388348        0.202435 
          1e-05        0.584785        0.574665        0.559487       0.0915379        0.493547 
          0.008        0.882943      0.00108458        0.260991       0.0469002        0.214091 
          0.002         2.88652       0.0141828        0.603393        0.107261        0.496143 
         0.0032          72.163        0.221607         1.76694        0.306901         1.46942 
          0.008         4.35824      0.00535352        0.526968        0.091481        0.435488 
         0.0008        0.270079      0.00331756        0.186615       0.0277563        0.158859 
         0.0001        0.397414       0.0390537        0.326715        0.050421        0.276334 
         0.0001         1.29923        0.127674        0.694152        0.120837        0.574433 
           0.01        0.600039     0.000589655        0.206499       0.0365138        0.169986 
         0.0008         6.41303       0.0787757         1.06107        0.188417        0.873281 
          0.005         1.96165      0.00385541        0.416742        0.074547        0.342195 
         0.0001        0.270079       0.0265405        0.248606       0.0352582        0.213361 
          0.005        0.882943      0.00173533        0.283727       0.0507693        0.232958 
          1e-05        0.397414        0.390537        0.436805       0.0651317        0.378917 
          0.001         21.5124        0.211401         1.64132        0.295953         1.35352 
         0.0008          14.248        0.175017         1.48316        0.266569         1.22145 
          1e-05        0.270079        0.265405        0.330711       0.0446113        0.288141 
          0.005         9.68278       0.0190304        0.808137        0.139853        0.668309 
          0.001         2.88652       0.0283657        0.697707        0.124138         0.57362 
           0.01        0.407781     0.000400724        0.167432       0.0284314           0.139 
          0.008        0.600039     0.000737069        0.214228       0.0377579         0.17647 
