# qsq, xbj, y, sigmar, sig_err, staterruncor, tot_noproc, relative_err
1.5 0.0002 0.074111 0.6124 0.02389192864 2.0801 2.8567 3.90136
2.0 0.0002 0.098814 0.67867 0.01422085118 1.1234 1.3172 2.0954
2.7 0.0002 0.1334 0.78138 0.015735742992 0.76119 1.6119 2.01384
3.5 0.0002 0.17292 0.85416 0.011523557976 0.68361 0.83308 1.34911
4.5 0.0002 0.22233 0.96119 0.013773660462 0.73692 0.90745 1.43298
6.5 0.0002 0.32115 1.1119 0.01528473335 0.9309 0.63276 1.37465
8.5 0.0002 0.41996 1.1948 0.02103911372 0.91463 1.2927 1.76089
12.0 0.0002 0.59289 1.2935 0.0210964676 0.82094 0.70414 1.63096
15.0 0.0002 0.74111 1.3862 0.04088194902 0.93433 2.6394 2.94921
