# Loaded 404 datapoints from ./data/hera_II_combined_sigmar.txt in Q2 range 2 - 50 GeV^2, now we have in total 404 points 
# 0.077 4.47
# === Perturbative settings ===
# Settings: lo (scheme), lobk, balpdrc
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    1 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 2 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   1 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 1e+08
# config::INTACCURACY = 0.005, config::RPOINTS = 200, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
=== Initial parameters ===

# ext. ||   Name    ||   type  ||     Value     ||  Error +/- 

   0   ||    qs0sqr ||  const  ||               0.077 ||
   1   ||alphascalingC2 ||  const  ||                4.47 ||
   2   ||       e_c ||  const  ||                15.6 ||
   3   ||anomalous_dimension ||  const  ||                1.01 ||
   4   ||icx0_nlo_impfac ||  const  ||                   1 ||
   5   ||   icx0_bk ||  const  ||                0.01 ||
   6   ||icTypicalPartonVirtualityQ0sqr ||  const  ||                   1 ||
   7   ||initialconditionY0 ||  const  ||                   0 ||
   8   ||      eta0 ||  const  ||                   0 ||
   9   ||old_sigma02 ||  const  ||             35.6952 ||
  10   ||mass_charm ||  const  ||                 1.4 ||
  11   ||mass_bottom ||  const  ||                 4.9 ||



=== Initializing Chi^2 regression ===  parameters (0.077, 4.47, 15.6, 1.01, 1, 0.01, 1, 0, 0, 35.6952, 1.4, 4.9)
#### Solving BK equation up to y=10.8198
                                                   # Evolved up to 0.4/10.8198, h=0.711961                                                   # Evolved up to 0.8/10.8198, h=0.799719                                                   # Evolved up to 1.2/10.8198, h=0.895245                                                   # Evolved up to 1.6/10.8198, h=0.999951                                                   # Evolved up to 2/10.8198, h=1.10413                                                   # Evolved up to 2.4/10.8198, h=1.12031                                                   # Evolved up to 2.8/10.8198, h=1.13564                                                   # Evolved up to 3.2/10.8198, h=1.1507                                                   # Evolved up to 3.6/10.8198, h=1.16563                                                   # Evolved up to 4/10.8198, h=1.1803                                                   # Evolved up to 4.4/10.8198, h=1.19439                                                   # Evolved up to 4.8/10.8198, h=1.20827                                                   # Evolved up to 5.2/10.8198, h=1.22218                                                   # Evolved up to 5.6/10.8198, h=1.23599                                                   # Evolved up to 6/10.8198, h=1.24925                                                   # Evolved up to 6.4/10.8198, h=1.26246                                                   # Evolved up to 6.8/10.8198, h=1.27562                                                   # Evolved up to 7.2/10.8198, h=1.28882                                                   # Evolved up to 7.6/10.8198, h=1.30153                                                   # Evolved up to 8/10.8198, h=1.31422                                                   # Evolved up to 8.4/10.8198, h=1.3267                                                   # Evolved up to 8.8/10.8198, h=1.33794                                                   # Evolved up to 9.2/10.8198, h=1.33586                                                   # Evolved up to 9.6/10.8198, h=1.35899                                                   # Evolved up to 10/10.8198, h=1.37673                                                   # Evolved up to 10.4/10.8198, h=1.38892                                                   # Evolved up to 10.8/10.8198, h=1.40072                                                   # Evolved up to 11.2/10.8198, h=1.41257
#AmplitudeLib initialized , minr: 1e-06 maxr: 27.5255 rpoints: 200 maxy 11.2 x0 0.01 Q_{s,0}^2 = 0.289521 GeV^2 [ N(r^2=2/Q_s^2, x=x0) = 0.3934] (AmplitudeLib v. 2.1 2017-07-25 git commit deb0171bfc81b828f6432ed07df21e25a9196eb4)
# Using parent dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
=== Computing Reduced Cross sections ===
   0.00032        8.5    0.26248      1.107   0.014186    1.10501
    0.0005        8.5    0.16798     1.0137  0.0148551    1.01652
    0.0008        8.5    0.10499    0.93089  0.0133775   0.925584
    0.0013        8.5   0.064609    0.83932  0.0123736   0.837075
     0.002        8.5   0.041996    0.76863  0.0143409   0.764108
    0.0032        8.5   0.026248    0.66098  0.0127106   0.690807
     0.005        8.5   0.016798    0.63241  0.0109513   0.626673
   0.00032         10    0.30879     1.1381  0.0273876    1.16711
    0.0005         10    0.19763     1.0581  0.0244029    1.07405
    0.0008         10    0.12352    0.97675  0.0235308   0.976364
    0.0013         10   0.076011    0.88846  0.0234933   0.880839
     0.002         10   0.049407    0.80175  0.0228096   0.801998
     0.005         10   0.019763    0.62751  0.0102588   0.653616
 0.0001392         12    0.85185     1.2808  0.0453114    1.28113
  0.000161         12     0.7365       1.34   0.026342    1.30355
 0.0001821         12    0.65116     1.2951  0.0300198    1.30759
    0.0002         12    0.59289     1.2935  0.0210965    1.30474
   0.00032         12    0.37055     1.2227  0.0150765    1.23588
    0.0005         12    0.23715     1.1453  0.0129713    1.13951
    0.0008         12    0.14822     1.0454   0.012017    1.03453
    0.0013         12   0.091213    0.93471  0.0143442   0.930853
     0.002         12   0.059289    0.85138  0.0136245   0.845177
    0.0032         12   0.037055    0.75383  0.0148208   0.759197
     0.005         12   0.023715    0.67921  0.0120694   0.684057
 0.0001741         15    0.85136     1.3403  0.0544447    1.32906
    0.0002         15    0.74111     1.3862  0.0408819    1.34936
 0.0002276         15    0.65124       1.33   0.041097    1.35306
   0.00032         15    0.46319     1.3127  0.0202004    1.31512
    0.0005         15    0.29644     1.2068  0.0133151    1.21987
    0.0008         15    0.18528     1.1049  0.0120623    1.10703
    0.0013         15    0.11402    0.97884  0.0112517   0.993334
     0.002         15   0.074111    0.86832  0.0102848   0.899005
    0.0032         15   0.046319    0.78328 0.00978003   0.804287
     0.005         15   0.029644    0.71299 0.00822391   0.721616
     0.008         15   0.018528    0.63212 0.00745219   0.641985
  0.000209         18    0.85103     1.3704    0.05659    1.36427
  0.000237         18    0.75049     1.3788  0.0326396    1.38179
  0.000268         18    0.66368     1.3718  0.0221266    1.38422
  0.000328         18    0.54227     1.3825  0.0217417    1.36787
    0.0005         18    0.35573     1.2806   0.014898    1.28434
    0.0008         18    0.22233     1.1553  0.0121182      1.167
    0.0013         18    0.13682     1.0378  0.0111676    1.04531
     0.002         18   0.088933    0.93994  0.0105826   0.943708
    0.0032         18   0.055583    0.82948  0.0094472   0.841592
     0.005         18   0.035573     0.7438 0.00833443   0.752513
     0.008         18   0.022233      0.664 0.00755127   0.666814
   0.00029         22    0.74963     1.4338  0.0416056    1.41288
   0.00032         22    0.67935     1.4306  0.0461141     1.4152
  0.000345         22    0.63012     1.4102  0.0287335    1.41156
  0.000388         22    0.56029     1.3925  0.0221239    1.39822
    0.0005         22    0.43478     1.3823  0.0212939    1.35162
  0.000592         22    0.36721     1.3265  0.0196976    1.31075
    0.0008         22    0.27174      1.229  0.0160093    1.23304
    0.0013         22    0.16722     1.0574  0.0298809    1.10329
     0.002         22     0.1087    0.99039  0.0186549   0.993576
    0.0032         22   0.067935    0.90023  0.0264739   0.883069
     0.005         22   0.043478      0.769  0.0205008   0.786753
     0.008         22   0.027174    0.65607  0.0179925   0.694182
  0.000314         27    0.84968     1.4802  0.0691187     1.4261
  0.000355         27    0.75154     1.4408  0.0421892    1.43925
   0.00041         27    0.65073     1.4618  0.0358588    1.43602
    0.0005         27     0.5336     1.4108  0.0188402    1.41155
    0.0008         27     0.3335     1.2885  0.0140629    1.29937
    0.0013         27    0.20523     1.1536  0.0127233    1.16297
     0.002         27     0.1334     1.0437  0.0117737    1.04513
    0.0032         27   0.083374    0.91323  0.0105178   0.925928
     0.005         27    0.05336    0.79956 0.00921077   0.821977
     0.008         27    0.03335     0.7073 0.00829861   0.722183
 0.0004603         35    0.75136     1.4273  0.0345271    1.46302
    0.0005         35     0.6917     1.4719  0.0372479    1.46198
 0.0005311         35     0.6512     1.4398  0.0240893    1.45751
  0.000616         35    0.56144      1.458  0.0257913    1.43584
  0.000657         35    0.52641     1.4332  0.0220167    1.42413
    0.0008         35    0.43231     1.3864  0.0150013    1.37803
     0.001         35    0.34585     1.3115  0.0173635    1.31612
    0.0013         35    0.26604     1.2224  0.0119157    1.23834
     0.002         35    0.17292      1.099  0.0116437    1.11112
