# === Perturbative settings ===
# Settings: lo (scheme), lobk, balsdrc
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    2 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 3 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   2 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 1e+08, Cuba perf scheme = 0
# config::INTACCURACY = 0.01, config::RPOINTS = 100, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
16
# === Initial parameters ===
# qs0sqr=0.06, alphas_scaling=7.2, gamma=1, e_c=18.9, icx0_nlo_impfac=1, icx0_bk=0.01, icY0=0, icTypPartonVirtQ0sqr=1, sigma02=42.0125, q_mass_c=0, q_mass_b=0
# Previously saved dipole file found: ./out/dipoles/dipole_lobk_balsdrc_x0bk0.010000_qs0sqr0.060000_asC^27.200000_gamma1.000000_ec18.900000_eta00.000000_maxy16.118096_euler0_step0.400000_rpoints100_rminmax0.000001--30.000000_intacc0.010000
# pr_r*=std::pow((nlodis_config::MAXR/nlodis_config::MINR),1/500.)
          # xbj               r        S(r,xbj)
# printing dipole at xbj=0.01
# printing dipole at xbj=0.002
# printing dipole at xbj=0.001
# printing dipole at xbj=1e-05
# printing dipole at xbj=1e-07
# Using smallest dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
# === Computing Reduced Cross sections ===
          # xbj             Q^2               y         sigma_r           FL_LO           FT_LO 
          0.001        0.397414      0.00390537        0.224435       0.0397314        0.184704 
           0.01         1.96165       0.0019277        0.357416        0.071719        0.285697 
          0.001        0.270079      0.00265405        0.175153       0.0283404        0.146813 
           0.01        0.882943     0.000867663        0.263402       0.0526889        0.210713 
          0.002         1.29923      0.00638372        0.385634       0.0780265        0.307609 
          0.001         4.24744       0.0417394        0.699593        0.141091         0.55863 
          1e-05        0.397414        0.390537        0.370273       0.0621927        0.314997 
           0.01        0.600039     0.000589655        0.220528       0.0428373        0.177691 
          1e-05        0.270079        0.265405        0.283005       0.0424625        0.242485 
          0.002          14.248        0.070007        0.884975        0.163286        0.722118 
           0.01        0.277124     0.000272328         0.14449       0.0245661        0.119924 
           0.01        0.407781     0.000400724        0.180614       0.0332812        0.147333 
          0.002        0.882943      0.00433832        0.321333       0.0637101        0.257624 
          0.001         2.88652       0.0283657         0.60362        0.122953        0.480718 
          0.002        0.600039      0.00294828        0.262967       0.0501854        0.212782 
          0.001         6.41303       0.0630205        0.808768        0.160287        0.648821 
          0.002         21.5124        0.105701        0.984136        0.175732        0.809495 
          0.002        0.277124      0.00136164        0.165987       0.0273778        0.138609 
          0.001         1.29923       0.0127674        0.426714       0.0861914        0.340529 
          0.002         1.96165      0.00963852        0.460129       0.0936619        0.366471 
          0.002        0.407781      0.00200362        0.211077       0.0379423        0.173135 
           0.01         32.4807       0.0319186        0.694188        0.106286        0.587957 
          0.001        0.277124      0.00272328        0.178183       0.0290298        0.149153 
          0.001        0.600039      0.00589655        0.286127       0.0541785        0.231949 
          0.001        0.882943      0.00867663        0.352465       0.0695377         0.28293 
          0.001        0.407781      0.00400724        0.228015        0.040568        0.187447 
          1e-05        0.277124        0.272328        0.288352        0.043615        0.246852 
          0.002         9.68278       0.0475761        0.794952        0.150965        0.644166 
           0.01         4.35824      0.00428282        0.453821       0.0866406        0.367181 
          1e-05        0.407781        0.400724        0.376573       0.0637021        0.320397 
           0.01        0.284353     0.000279432        0.146764       0.0251107        0.121654 
          1e-05        0.600039        0.589655        0.473662       0.0894298        0.410845 
          0.002         47.7945        0.234837          1.1821        0.198076         0.99091 
           0.01         1.33312      0.00131005        0.311299         0.06289        0.248409 
          1e-05        0.882943        0.867663        0.552191        0.121225        0.520658 
          0.001         1.96165        0.019277        0.514232        0.104912         0.40934 
          0.002        0.284353      0.00139716        0.168769       0.0280232        0.140746 
           0.01        0.418418     0.000411177        0.183165       0.0338981        0.149267 
           0.01         2.96182      0.00291056         0.40715       0.0800252        0.327125 
           0.01        0.615692     0.000605037        0.223305        0.043491        0.179813 
          0.001          14.248        0.140014         1.03793        0.196405        0.843737 
          0.001        0.284353      0.00279432        0.181248       0.0297291        0.151519 
          0.002          72.163        0.354571         1.28092        0.208914         1.09055 
          0.002        0.418418      0.00205589        0.214328       0.0387105        0.175617 
           0.01        0.905975     0.000890296         0.26634       0.0533414        0.212999 
