# qsq, xbj, y, sigmar, sig_err, staterruncor, tot_noproc, relative_err
60.0 0.0008 0.74111 1.4831 0.03578023243 1.0121 1.8397 2.41253
0.5 0.0008 0.0061759 0.28667 0.008341666995 2.046 1.3814 2.90985
0.65 0.0008 0.0080287 0.31814 0.009584476524 2.1379 1.3466 3.01266
0.85 0.0008 0.010499 0.34934 0.019282135706 4.606 2.6662 5.51959
1.5 0.0008 0.018528 0.48973 0.018033425736 2.3646 2.4697 3.68232
2.7 0.0008 0.03335 0.59438 0.013289564106 0.87531 1.8418 2.23587
3.5 0.0008 0.043231 0.65903 0.010703438036 0.67059 1.1649 1.62412
4.5 0.0008 0.055583 0.72028 0.01269349444 0.81886 1.291 1.7623
6.5 0.0008 0.080287 0.84903 0.012237324099 0.79154 0.84991 1.44133
8.5 0.0008 0.10499 0.93089 0.013377540923 0.88014 0.79638 1.43707
10.0 0.0008 0.12352 0.97675 0.023530786575 1.8378 1.3102 2.40909
12.0 0.0008 0.14822 1.0454 0.01201697754 0.66687 0.55624 1.14951
15.0 0.0008 0.18528 1.1049 0.01206230379 0.47553 0.62859 1.09171
18.0 0.0008 0.22233 1.1553 0.01211817276 0.44768 0.57982 1.04892
22.0 0.0008 0.27174 1.229 0.0160093227 0.64286 0.76431 1.30263
27.0 0.0008 0.3335 1.2885 0.0140629467 0.43713 0.6686 1.09142
35.0 0.0008 0.43231 1.3864 0.01500126392 0.48789 0.59301 1.08203
45.0 0.0008 0.55583 1.4601 0.01920279717 0.72168 0.80329 1.31517
60.0 0.0008 0.74111 1.47 0.030135147 0.82432 1.6565 2.05001
