# qsq, xbj, y, sigmar, sig_err, staterruncor, tot_noproc, relative_err
250.0 0.25 0.0098814 0.23527 0.02682078 7.3335 8.5977 11.4
300.0 0.25 0.011858 0.29312 0.03423172608 6.7057 9.3947 11.6784
400.0 0.25 0.01581 0.26418 0.006469187004 1.8112 0.82269 2.44878
500.0 0.25 0.019763 0.26715 0.010191532065 2.6061 2.4142 3.81491
650.0 0.25 0.025692 0.25646 0.006344256188 1.8577 1.0026 2.47378
800.0 0.25 0.031621 0.25374 0.006414851688 2.16 0.64484 2.52812
1000.0 0.25 0.039526 0.28083 0.011880878229 3.5733 1.9706 4.23063
1200.0 0.25 0.047431 0.24677 0.005698092039 2.0051 0.51678 2.30907
1500.0 0.25 0.059289 0.25961 0.008076830554 2.8494 0.74215 3.11114
2000.0 0.25 0.079051 0.2513 0.00901862927 3.3459 0.80393 3.58879
3000.0 0.25 0.11858 0.26471 0.009902377564 3.3979 1.0181 3.74084
5000.0 0.25 0.19763 0.2489 0.01106492417 4.2409 0.78672 4.44553
8000.0 0.25 0.31621 0.29676 0.01453767888 4.6566 1.0672 4.8988
12000.0 0.25 0.47431 0.33417 0.020403517941 5.854 1.2439 6.10573
20000.0 0.25 0.79051 0.47861 0.035176590614 6.9966 0.97793 7.34974
200.0 0.25 0.0079051 0.2776 0.01630328144 3.5746 4.2015 5.87294
250.0 0.25 0.0098814 0.26745 0.01221572526 2.112 3.6829 4.56748
300.0 0.25 0.011858 0.26834 0.014042822548 2.1034 4.454 5.23322
400.0 0.25 0.01581 0.26134 0.004526173594 1.37 0.59623 1.73191
500.0 0.25 0.019763 0.26133 0.008606694486 2.0806 2.1629 3.29342
650.0 0.25 0.025692 0.24797 0.004749964538 1.5504 0.7518 1.91554
800.0 0.25 0.031621 0.25179 0.005205456102 1.7573 0.68867 2.06738
1000.0 0.25 0.039526 0.25532 0.008881408328 2.8736 1.7385 3.47854
1200.0 0.25 0.047431 0.2517 0.00489342555 1.7163 0.49738 1.94415
1500.0 0.25 0.059289 0.24839 0.006652753565 2.4016 0.88169 2.67835
2000.0 0.25 0.079051 0.24422 0.007382575224 2.7729 0.90304 3.02292
3000.0 0.25 0.11858 0.23086 0.007421179388 2.9647 0.95868 3.21458
5000.0 0.25 0.19763 0.22525 0.00832564545 3.4687 1.0076 3.69618
8000.0 0.25 0.31621 0.21655 0.011445771905 5.0316 1.3811 5.28551
12000.0 0.25 0.47431 0.15549 0.012188627865 7.64 1.4377 7.83885
20000.0 0.25 0.79051 0.12605 0.0150009584 11.419 3.0777 11.9008
