# qsq, xbj, y, sigmar, sig_err, staterruncor, tot_noproc, relative_err
200.0 0.13 0.024324 0.38393 0.030441732914 7.1649 1.8892 7.92898
250.0 0.13 0.030404 0.39288 0.027195467904 6.1807 1.3594 6.92208
300.0 0.13 0.036485 0.37936 0.02984918288 7.1886 1.5194 7.8683
400.0 0.13 0.048647 0.37996 0.033144556732 8.1654 1.2595 8.72317
500.0 0.13 0.060809 0.38745 0.04531653945 11.285 1.2996 11.6961
650.0 0.13 0.079051 0.40376 0.05454878352 13.145 1.3997 13.5102
800.0 0.13 0.097294 0.29744 0.0546337792 18.108 1.3396 18.368
