# qsq, xbj, y, sigmar, sig_err, staterruncor, tot_noproc, relative_err
200.0 0.032 0.061759 0.57972 0.008504028624 0.73555 0.68154 1.46692
250.0 0.032 0.077199 0.58859 0.008605068082 0.77805 0.67036 1.46198
300.0 0.032 0.092638 0.60799 0.008806613552 0.86548 0.57746 1.44848
400.0 0.032 0.12352 0.60799 0.009420014663 0.99053 0.63256 1.54937
500.0 0.032 0.1544 0.62977 0.013006576833 1.4887 0.99447 2.06529
650.0 0.032 0.20072 0.62508 0.011005721052 1.3218 0.55005 1.76069
800.0 0.032 0.24704 0.64142 0.011842088466 1.4536 0.54224 1.84623
1000.0 0.032 0.30879 0.65796 0.018020340072 2.3199 1.0469 2.73882
1200.0 0.032 0.37055 0.63869 0.012309408501 1.5762 0.47861 1.92729
1500.0 0.032 0.46319 0.66054 0.015020613546 2.0075 0.41155 2.27399
2000.0 0.032 0.61759 0.65822 0.017957031464 2.4072 0.55605 2.72812
3000.0 0.032 0.92638 0.73112 0.031413155696 3.7608 1.7394 4.29658
22.0 0.032 0.0067935 0.51943 0.014564505542 1.807 1.6104 2.80394
27.0 0.032 0.0083374 0.52693 0.01234491604 0.61772 1.7827 2.3428
35.0 0.032 0.010808 0.51678 0.009071401086 0.80258 0.93451 1.75537
45.0 0.032 0.013896 0.53286 0.008711301852 1.0967 0.84709 1.63482
60.0 0.032 0.018528 0.55175 0.007812062725 0.89585 0.70211 1.41587
70.0 0.032 0.021616 0.56107 0.013730785575 2.1017 0.92002 2.44725
90.0 0.032 0.027791 0.55688 0.008323629672 1.0052 0.7298 1.49469
120.0 0.032 0.037055 0.57394 0.00965998414 1.2533 0.73969 1.6831
150.0 0.032 0.046319 0.58336 0.013306674944 1.878 0.80014 2.28104
200.0 0.032 0.061759 0.58242 0.00626771283 0.66307 0.32948 1.07615
250.0 0.032 0.077199 0.5922 0.00689818248 0.65072 0.58945 1.16484
300.0 0.032 0.092638 0.59769 0.007534181295 0.74657 0.67051 1.26055
400.0 0.032 0.12352 0.60189 0.007491664641 0.85355 0.48553 1.24469
500.0 0.032 0.1544 0.61906 0.010371607428 1.2039 0.86257 1.67538
650.0 0.032 0.20072 0.62722 0.00904702128 1.0898 0.56283 1.4424
800.0 0.032 0.24704 0.62669 0.009774609268 1.2265 0.60491 1.55972
1000.0 0.032 0.30879 0.6249 0.0138571575 1.8245 0.98263 2.2175
1200.0 0.032 0.37055 0.63185 0.011039493645 1.4589 0.57928 1.74717
1500.0 0.032 0.46319 0.60267 0.013346549019 1.9386 0.66656 2.21457
2000.0 0.032 0.61759 0.58911 0.016138020429 2.2969 1.0192 2.73939
3000.0 0.032 0.92638 0.60299 0.025449132651 3.7147 1.7201 4.22049
