# qsq, xbj, y, sigmar, sig_err, staterruncor, tot_noproc, relative_err
150.0 0.013 0.11402 0.80578 0.028199721504 1.3772 2.9797 3.49968
200.0 0.013 0.15202 0.79922 0.010234331788 0.59466 0.54231 1.28054
250.0 0.013 0.19003 0.81748 0.010948673136 0.68635 0.5404 1.33932
300.0 0.013 0.22803 0.82711 0.011495836468 0.7508 0.5514 1.38988
400.0 0.013 0.30404 0.86568 0.01284842256 0.93437 0.54394 1.4842
500.0 0.013 0.38005 0.89862 0.017857556364 1.4648 0.87898 1.98722
650.0 0.013 0.49407 0.90475 0.013863393775 1.0494 0.39689 1.53229
800.0 0.013 0.60809 0.88824 0.016567274832 1.4539 0.36199 1.86518
1000.0 0.013 0.76011 0.86202 0.02952289197 2.7513 1.4987 3.42485
1.5 0.013 0.0011402 0.32401 0.021910107017 4.0132 2.4962 6.76217
2.0 0.013 0.0015202 0.35762 0.01830728304 2.3913 2.1356 5.1192
4.5 0.013 0.0034205 0.43009 0.010763045259 0.71005 1.8562 2.50251
6.5 0.013 0.0049407 0.48263 0.011346824352 0.67929 1.8211 2.35104
22.0 0.013 0.016722 0.58566 0.016964988918 1.9428 1.8302 2.89673
27.0 0.013 0.020523 0.63457 0.0075323459 0.54771 0.66536 1.187
35.0 0.013 0.026604 0.6609 0.00791526885 0.65596 0.62124 1.19765
45.0 0.013 0.034205 0.67916 0.008165744428 0.70685 0.60471 1.20233
60.0 0.013 0.045607 0.70548 0.008999526168 0.78471 0.62009 1.27566
70.0 0.013 0.053208 0.71615 0.015296319465 1.8894 0.51002 2.13591
90.0 0.013 0.06841 0.7535 0.01046845085 0.90562 0.68545 1.38931
120.0 0.013 0.091213 0.77383 0.011840914511 1.1269 0.65034 1.53017
150.0 0.013 0.11402 0.7974 0.01541501784 1.4186 0.93708 1.93316
200.0 0.013 0.15202 0.8085 0.007785895425 0.49176 0.35115 0.963005
250.0 0.013 0.19003 0.82679 0.008507834458 0.59603 0.35472 1.02902
300.0 0.013 0.22803 0.81291 0.00865830441 0.65008 0.37042 1.0651
400.0 0.013 0.30404 0.84354 0.010379590992 0.79762 0.55092 1.23048
500.0 0.013 0.38005 0.87521 0.014405869079 1.2259 0.77003 1.64599
650.0 0.013 0.49407 0.86196 0.012378779952 1.0223 0.63287 1.43612
800.0 0.013 0.60809 0.84371 0.015030356166 1.359 0.78976 1.78146
1000.0 0.013 0.76011 0.82262 0.02427345965 2.3441 1.3636 2.95075
