# qsq, xbj, y, sigmar, sig_err, staterruncor, tot_noproc, relative_err
0.5 0.0032 0.001544 0.18222 0.02389851744 11.379 6.3896 13.1152
0.65 0.0032 0.0020072 0.2236 0.01509718132 5.8165 3.1847 6.75187
0.85 0.0032 0.0026248 0.3076 0.01676875248 4.5436 2.8276 5.45148
1.5 0.0032 0.0046319 0.41003 0.013903912285 2.3113 2.0416 3.39095
2.0 0.0032 0.0061759 0.42584 0.011183580416 1.0689 1.8947 2.62624
4.5 0.0032 0.013896 0.57189 0.009723674103 0.66959 1.226 1.70027
6.5 0.0032 0.020072 0.64107 0.01070907435 0.67147 1.205 1.6705
8.5 0.0032 0.026248 0.66098 0.0127106454 1.0282 1.3279 1.923
12.0 0.0032 0.037055 0.75383 0.014820825481 1.1273 1.3559 1.96607
15.0 0.0032 0.046319 0.78328 0.00978003408 0.55869 0.77605 1.2486
18.0 0.0032 0.055583 0.82948 0.009447196564 0.52699 0.64889 1.13893
22.0 0.0032 0.067935 0.90023 0.026473873817 2.5567 1.18 2.94079
27.0 0.0032 0.083374 0.91323 0.010517761233 0.52744 0.65936 1.15171
35.0 0.0032 0.10808 0.96333 0.010310906322 0.48906 0.55988 1.07034
45.0 0.0032 0.13896 1.005 0.0103632585 0.48558 0.52449 1.03117
60.0 0.0032 0.18528 1.0771 0.01095895395 0.49334 0.51618 1.01745
70.0 0.0032 0.21616 1.0842 0.0152476467 0.91011 0.77921 1.40635
90.0 0.0032 0.27791 1.1653 0.01370882226 0.6602 0.62561 1.17642
120.0 0.0032 0.37055 1.2083 0.01372677132 0.57651 0.63162 1.13604
150.0 0.0032 0.46319 1.2348 0.01521903348 0.50148 0.74821 1.23251
200.0 0.0032 0.61759 1.2484 0.01852975152 0.92137 0.71504 1.48428
