# qsq, xbj, y, sigmar, sig_err, staterruncor, tot_noproc, relative_err
200.0 0.4 0.0098814 0.17759 0.017049687781 7.9901 4.5011 9.60059
250.0 0.4 0.012352 0.17969 0.015390107089 6.3705 4.9075 8.56481
300.0 0.4 0.014822 0.16839 0.015969400362 7.3873 5.1572 9.48358
400.0 0.4 0.019763 0.16009 0.01603189287 8.4407 4.6374 10.0143
500.0 0.4 0.024704 0.13829 0.01709070794 11.439 4.1388 12.3586
650.0 0.4 0.032115 0.20084 0.02366939568 10.916 3.9392 11.7852
800.0 0.4 0.039526 0.13119 0.02102162322 15.525 3.5296 16.0238
