# === Perturbative settings ===
# Settings: lo (scheme), lobk, balsdrc
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    2 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 3 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   2 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 5e+07, Cuba perf scheme = 0
# config::INTACCURACY = 0.01, config::RPOINTS = 100, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
16
# === Initial parameters ===
# qs0sqr=0.104, alphas_scaling=14.5, gamma=1, e_c=1, icx0_nlo_impfac=1, icx0_bk=0.01, icY0=0, icTypPartonVirtQ0sqr=1, sigma02=48.4781, q_mass_c=0, q_mass_b=0
# Previously saved dipole file found: ./out/dipoles/dipole_lobk_balsdrc_x0bk0.010000_qs0sqr0.104000_asC^214.500000_gamma1.000000_ec1.000000_eta00.000000_maxy16.118096_euler0_step0.400000_rpoints100_rminmax0.000001--30.000000_intacc0.010000
# Using smallest dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
# === Computing Reduced Cross sections ===
          # xbj             Q^2               y         sigma_r 
          0.001        0.670875      0.00659265        0.289711 
          0.001         16.0673        0.157892         1.07778 
          0.001         0.40084      0.00393904        0.215259 
          0.001         4.33957       0.0426447        0.682508 
          0.001         12.4196        0.122047        0.992297 
          0.001          2.5378       0.0249388        0.549414 
          0.001         0.31656      0.00311082        0.185845 
          0.001         1.48411       0.0145843        0.432802 
          0.001         1.14718       0.0112733        0.382579 
          0.001         20.7863        0.204266         1.16636 
          0.001        0.529817      0.00520649        0.253815 
          0.001        0.409535      0.00402448        0.218079 
          0.001          5.7359       0.0563664        0.758347 
          0.001         0.88674      0.00871395        0.336052 
          0.001        0.685427      0.00673566        0.293134 
          0.001         1.96165        0.019277        0.491395 
          0.001        0.323426      0.00317829        0.188399 
          0.001         3.35438       0.0329633        0.616537 
          0.001         7.58152       0.0745032        0.838822 
          0.001         34.7895        0.341874         1.34748 
          0.001        0.541309      0.00531942        0.256954 
          0.001        0.418418      0.00411177        0.220923 
          0.001         1.17206       0.0115178        0.386625 
          0.001          1.5163       0.0149006        0.437152 
          0.001         26.8914         0.26426         1.25705 
          0.001         9.80825       0.0963852        0.917145 
          0.001         2.59284       0.0254797        0.554418 
          0.001        0.700295      0.00688176        0.296572 
          0.001        0.905975      0.00890296        0.339791 
          0.001          4.4337       0.0435697        0.688186 
          0.001         45.0073        0.442285         1.43315 
          0.001        0.427494      0.00420096        0.223791 
          0.001        0.553051       0.0054348        0.260117 
          0.001          2.0042       0.0196952        0.496089 
          0.001         16.4158        0.161317         1.08506 
          0.001          12.689        0.124694         0.99929 
          0.001         58.2262        0.572186         1.50483 
          0.001         5.86032        0.057589        0.764373 
          0.001         97.4516        0.957651          1.5312 
          0.001         75.3275         0.74024         1.54502 
          0.001        0.715485      0.00703103        0.300034 
          0.001         3.42714       0.0336783        0.621888 
          0.001         1.19749       0.0117676          0.3907 
          0.001         1.54919       0.0152239         0.44153 
          0.001        0.925626      0.00909608        0.343556 
          0.001         7.74597       0.0761193        0.845206 
          0.001        0.565047      0.00555269        0.263305 
          0.001         2.64909       0.0260324        0.559461 
          0.001         21.2372        0.208697         1.17387 
          0.001        0.731004      0.00718354        0.303522 
          0.001         4.52987       0.0445148        0.693883 
          0.001         2.04767       0.0201224        0.500808 
          0.001          10.021       0.0984759        0.923848 
          0.001         1.22346       0.0120229        0.394795 
          0.001        0.945704      0.00929338        0.347347 
          0.001          1.5828       0.0155541        0.445932 
          0.001         35.5441         0.34929         1.35491 
          0.001         27.4747        0.269992         1.26463 
          0.001         3.50147       0.0344088        0.627276 
          0.001         5.98744       0.0588382        0.770427 
          0.001        0.746861      0.00733936        0.307034 
          0.001         7.91399       0.0777704        0.851609 
