# manually written dipole scattering amplitude S=1-N
# sqrt(s) = 319 GeV like in the real data
# x fixed, s fixed -> y = Q^2/(s*x) calculated
# r in (1e-6, 30), logarithmic step size # pr_r*=std::pow((nlodis_config::MAXR/nlodis_config::MINR),1/500.)
          # xbj               r        S(r,xbj)
          0.001      0.00143003        0.999999
          0.001      0.00148013        0.999999
          0.001      0.00153198        0.999999
          0.001      0.00158565        0.999999
          0.001       0.0016412        0.999998
          0.001       0.0016987        0.999998
          0.001      0.00175821        0.999998
          0.001      0.00181981        0.999998
          0.001      0.00188356        0.999998
          0.001      0.00194955        0.999998
          0.001      0.00201784        0.999998
          0.001      0.00208854        0.999998
          0.001       0.0021617        0.999997
          0.001      0.00223743        0.999997
          0.001      0.00231582        0.999997
          0.001      0.00239695        0.999997
          0.001      0.00248092        0.999997
          0.001      0.00256784        0.999996
          0.001       0.0026578        0.999996
          0.001      0.00275091        0.999996
          0.001      0.00284728        0.999996
          0.001      0.00294703        0.999995
          0.001      0.00305027        0.999995
          0.001      0.00315713        0.999995
          0.001      0.00326774        0.999995
          0.001      0.00338222        0.999994
          0.001       0.0035007        0.999994
          0.001      0.00362335        0.999993
          0.001      0.00375028        0.999993
          0.001      0.00388167        0.999993
          0.001      0.00401765        0.999992
          0.001       0.0041584        0.999992
          0.001      0.00430409        0.999991
          0.001      0.00445487         0.99999
          0.001      0.00461094         0.99999
          0.001      0.00477247        0.999989
          0.001      0.00493967        0.999988
          0.001      0.00511272        0.999988
          0.001      0.00529184        0.999987
          0.001      0.00547723        0.999986
          0.001      0.00566911        0.999985
          0.001      0.00586772        0.999984
          0.001      0.00607328        0.999983
          0.001      0.00628605        0.999982
          0.001      0.00650627        0.999981
          0.001       0.0067342         0.99998
          0.001      0.00697012        0.999978
          0.001      0.00721431        0.999977
          0.001      0.00746705        0.999976
          0.001      0.00772864        0.999974
          0.001       0.0079994        0.999972
          0.001      0.00827964        0.999971
          0.001       0.0085697        0.999969
          0.001      0.00886993        0.999967
          0.001      0.00918067        0.999965
          0.001      0.00950229        0.999962
          0.001      0.00983519         0.99996
          0.001       0.0101797        0.999957
          0.001       0.0105364        0.999955
          0.001       0.0109055        0.999952
          0.001       0.0112876        0.999949
          0.001        0.011683        0.999945
          0.001       0.0120923        0.999942
          0.001       0.0125159        0.999938
          0.001       0.0129544        0.999935
          0.001       0.0134082         0.99993
          0.001       0.0138779        0.999926
          0.001       0.0143641        0.999921
          0.001       0.0148674        0.999916
          0.001       0.0153882        0.999911
          0.001       0.0159273        0.999905
          0.001       0.0164853        0.999899
          0.001       0.0170628        0.999893
          0.001       0.0176606        0.999886
          0.001       0.0182793        0.999879
          0.001       0.0189197        0.999871
          0.001       0.0195825        0.999863
          0.001       0.0202685        0.999854
          0.001       0.0209786        0.999845
          0.001       0.0217135        0.999836
          0.001       0.0224742        0.999825
          0.001       0.0232616        0.999814
          0.001       0.0240765        0.999803
          0.001         0.02492         0.99979
          0.001        0.025793        0.999778
          0.001       0.0266966        0.999763
          0.001       0.0276319        0.999748
          0.001       0.0285999        0.999733
          0.001       0.0296018        0.999716
          0.001       0.0306389        0.999699
          0.001       0.0317122         0.99968
          0.001       0.0328232        0.999659
          0.001       0.0339731        0.999638
          0.001       0.0351633        0.999616
          0.001       0.0363952        0.999594
          0.001       0.0376702        0.999567
          0.001       0.0389899         0.99954
          0.001       0.0403559        0.999511
          0.001       0.0417697        0.999482
          0.001        0.043233        0.999452
          0.001       0.0447476        0.999416
          0.001       0.0463152        0.999379
          0.001       0.0479378        0.999341
          0.001       0.0496172        0.999302
          0.001       0.0513554        0.999261
          0.001       0.0531546        0.999213
