# === Perturbative settings ===
# Settings: lopc (scheme), lobk, balpdrc
# Use masses: true, scheme:3
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    1 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 2 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   1 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 1e+08, Cuba perf scheme = 0
# config::INTACCURACY = 0.01, config::RPOINTS = 100, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
16
# === Initial parameters ===
# qs0sqr=0.077, alphas_scaling=4.47, gamma=1.01, e_c=15.6, icx0_nlo_impfac=1, icx0_bk=0.01, icY0=0, icTypPartonVirtQ0sqr=1, sigma02=27.7238, q_mass_c=1.4, q_mass_b=4.9
# Previously saved dipole file found: ./out/dipoles/dipole_lobk_balpdrc_x0bk0.010000_qs0sqr0.077000_asC^24.470000_gamma1.010000_ec15.600000_eta00.000000_maxy16.118096_euler0_step0.400000_rpoints100_rminmax0.000001--30.000000_intacc0.010000
# pr_r*=std::pow((nlodis_config::MAXR/nlodis_config::MINR),1/500.)
          # xbj               r        S(r,xbj)
# printing dipole at xbj=0.01
# printing dipole at xbj=0.001
# printing dipole at xbj=0.0001
# printing dipole at xbj=1e-05
# printing dipole at xbj=0.0008
# printing dipole at xbj=0.0013
# printing dipole at xbj=0.002
# printing dipole at xbj=0.0032
# printing dipole at xbj=0.005
# printing dipole at xbj=0.008
# Asking for too large Bjorken-x, skipping at xbj=0.013
# Asking for too large Bjorken-x, skipping at xbj=0.02
# Asking for too large Bjorken-x, skipping at xbj=0.032
# Asking for too large Bjorken-x, skipping at xbj=0.05
# Asking for too large Bjorken-x, skipping at xbj=0.08
# Asking for too large Bjorken-x, skipping at xbj=0.13
# Asking for too large Bjorken-x, skipping at xbj=0.18
# Asking for too large Bjorken-x, skipping at xbj=0.25
# Asking for too large Bjorken-x, skipping at xbj=0.4
# Asking for too large Bjorken-x, skipping at xbj=0.65
# printing dipole at xbj=0.00013
# printing dipole at xbj=0.0005
# printing dipole at xbj=0.0002
# printing dipole at xbj=0.00032
# Using parent dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
# === Computing Reduced Cross sections ===
          # xbj             Q^2               y         sigma_r           FL_LO           FT_LO 
           0.25         0.55543     2.18327e-05        0.167148       0.0307159        0.136432 
          0.008            0.25     0.000307092        0.105759       0.0166745       0.0890847 
          0.005         106.186        0.208697         1.15367        0.180699        0.977806 
          0.001          1.2662       0.0124429        0.352107       0.0646886        0.287423 
           0.01          14.248       0.0140014        0.574074       0.0946888        0.479395 
         0.0001        0.377465       0.0370933        0.226548       0.0347123        0.191861 
          0.008         0.83862      0.00103013        0.211949       0.0399509        0.171998 
           0.18         1.86318     0.000101719        0.293206       0.0553083        0.237897 
          0.013            0.25      0.00018898        0.103999       0.0165186       0.0874809 
            0.4         0.55543     1.36454e-05        0.167148       0.0307159        0.136432 
          1e-05        0.377465        0.370933        0.292359       0.0426314         0.25393 
          0.005         2.81314      0.00552891        0.390693          0.0721        0.318594 
         0.0001          1.2662        0.124429        0.500127       0.0884275        0.412475 
           0.02            0.25     0.000122837        0.103999       0.0165186       0.0874809 
          0.013         0.83862     0.000633929        0.206308       0.0390823        0.167225 
         0.0008        0.377465      0.00463666        0.175969       0.0284923        0.147477 
           0.18         20.9655      0.00114459         0.63489        0.102666        0.532223 
           0.65         0.55543      8.3972e-06        0.167148       0.0307159        0.136432 
          0.001         4.24744       0.0417394        0.637381        0.115831        0.521655 
           0.18            6.25     0.000341213        0.450766       0.0782836        0.372482 
          0.032            0.25      7.6773e-05        0.103999       0.0165186       0.0874809 
           0.25         1.86318     7.32374e-05        0.293206       0.0553083        0.237897 
          0.005         9.43662       0.0185466        0.609475        0.105651        0.503842 
         0.0008          1.2662       0.0155536        0.364531       0.0667195         0.29782 
         0.0013        0.377465      0.00285333        0.166071       0.0272455        0.138826 
           0.05            0.25     4.91347e-05        0.103999       0.0165186       0.0874809 
        0.00013         0.55543        0.041986        0.286085       0.0471786         0.23895 
           0.02         0.83862     0.000412054        0.206308       0.0390823        0.167225 
          0.005          31.655       0.0622143        0.872069        0.144864        0.727503 
          0.008         2.81314      0.00345557        0.358092       0.0660307        0.292062 
          0.001          14.248        0.140014          1.0451         0.18689         0.86032 
           0.08            0.25     3.07092e-05        0.103999       0.0165186       0.0874809 
          0.002        0.377465      0.00185466        0.157982       0.0262272        0.131755 
          0.001         47.7945        0.469674            1.52        0.275532          1.2919 
         0.0005         0.55543       0.0109164        0.239946       0.0408695        0.199079 
         0.0001         4.24744        0.417394        0.964845          0.1782        0.809824 
            0.4         1.86318     4.57734e-05        0.293206       0.0553083        0.237897 
         0.0013          1.2662      0.00957144        0.338002       0.0623727        0.275632 
           0.13            0.25      1.8898e-05        0.103999       0.0165186       0.0874809 
          0.032         0.83862     0.000257534        0.206308       0.0390823        0.167225 
         0.0032        0.377465      0.00115916        0.149999       0.0252315        0.124767 
         0.0002         0.55543       0.0272909        0.270521       0.0450742        0.225464 
           0.18            0.25     1.36485e-05        0.103999       0.0165186       0.0874809 
           0.25            6.25     0.000245674        0.450766       0.0782836        0.372482 
          0.005        0.377465     0.000741865        0.143233       0.0244056        0.118827 
          0.013         2.81314       0.0021265        0.343393       0.0632695        0.280123 
          0.002          1.2662      0.00622143        0.316195       0.0587682        0.257428 
           0.05         0.83862     0.000164822        0.206308       0.0390823        0.167225 
           0.25            0.25     9.82695e-06        0.103999       0.0165186       0.0874809 
        0.00032         0.55543       0.0170568        0.254404        0.042869        0.211542 
