# === Perturbative settings ===
# Settings: lo (scheme), lobk, balsdrc
# Use masses: true, scheme:0
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    2 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 3 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   2 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 1e+08, Cuba perf scheme = 0
# config::INTACCURACY = 0.01, config::RPOINTS = 100, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
16
# === Initial parameters ===
# qs0sqr=0.165, alphas_scaling=6.35, gamma=1.135, e_c=1, icx0_nlo_impfac=1, icx0_bk=0.01, icY0=0, icTypPartonVirtQ0sqr=1, sigma02=42.2436, q_mass_c=1.4, q_mass_b=4.9
# Previously saved dipole file found: ./out/dipoles/dipole_lobk_balsdrc_x0bk0.010000_qs0sqr0.165000_asC^26.350000_gamma1.135000_ec1.000000_eta00.000000_maxy16.118096_euler0_step0.400000_rpoints100_rminmax0.000001--30.000000_intacc0.010000
# pr_r*=std::pow((nlodis_config::MAXR/nlodis_config::MINR),1/500.)
          # xbj               r        S(r,xbj)
# printing dipole at xbj=0.01
# printing dipole at xbj=0.008
# printing dipole at xbj=0.005
# printing dipole at xbj=0.0032
# printing dipole at xbj=0.002
# printing dipole at xbj=0.001
# printing dipole at xbj=0.0008
# printing dipole at xbj=0.0001
# printing dipole at xbj=1e-05
# Using smallest dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
# === Computing Reduced Cross sections ===
          # xbj             Q^2               y         sigma_r           FL_LO           FT_LO 
          0.005        0.569918      0.00112011        0.237082        0.045426        0.191656 
          0.002         9.43662       0.0463666        0.815555        0.155672        0.660058 
         0.0008         0.83862       0.0103013        0.363267        0.071219        0.292052 
          1e-05        0.377465        0.370933        0.366508       0.0605695        0.311909 
          0.002        0.256521      0.00126041        0.161768       0.0261086        0.135659 
          0.002          1.2662      0.00622143        0.392189       0.0793213        0.312869 
         0.0032        0.569918      0.00175017        0.248827       0.0474235        0.201403 
          0.001        0.256521      0.00252082        0.173394       0.0276271        0.145767 
           0.01        0.387311     0.000380609        0.180691       0.0329984        0.147693 
         0.0001         0.83862       0.0824108        0.478135       0.0920397        0.386435 
          0.005         4.24744      0.00834787        0.532086        0.104279        0.427811 
         0.0008        0.256521      0.00315103        0.177446       0.0281591        0.149287 
           0.01         6.41303      0.00630205        0.517249       0.0954851        0.421766 
          0.008        0.387311     0.000475761           0.184       0.0334737        0.150526 
          0.008          14.248       0.0175017        0.653532        0.112678        0.540871 
          0.002        0.569918      0.00280028        0.262552         0.04976        0.212792 
          0.008         1.91178      0.00234837         0.37809       0.0761951        0.301895 
          1e-05         0.83862        0.824108        0.558998        0.119585        0.518192 
          0.001         2.81314       0.0276446        0.615845         0.12567        0.490224 
         0.0001        0.256521       0.0252082        0.221389       0.0338412        0.187558 
          0.001          1.2662       0.0124429        0.433632       0.0875283        0.346111 
          0.001          31.655        0.311072         1.32401        0.239736         1.10001 
          0.005        0.387311     0.000761217        0.191665       0.0345958        0.157069 
          1e-05        0.256521        0.252082        0.278896       0.0410713        0.239498 
          0.008         21.5124       0.0264252        0.710902        0.117254         0.59369 
          0.001        0.569918      0.00560056        0.285304       0.0536238        0.231681 
           0.01        0.263213     0.000258658        0.144013       0.0241637        0.119849 
         0.0032        0.387311       0.0011894        0.200074       0.0358538         0.16422 
           0.01        0.860496     0.000845605        0.268376       0.0536307        0.214746 
          0.001         9.43662       0.0927331        0.947694        0.184477        0.764087 
         0.0008          1.2662       0.0155536        0.447941       0.0903438        0.357608 
          0.008        0.263213     0.000323322        0.146265        0.024427        0.121838 
         0.0008        0.569918       0.0070007        0.293186       0.0549572         0.23823 
          0.002        0.387311      0.00190304        0.209996       0.0373534        0.172643 
          0.005         1.91178      0.00375739          0.4062       0.0822779        0.323923 
         0.0008         2.81314       0.0345557        0.639881        0.130765        0.509197 
         0.0032         4.24744       0.0130436        0.579475        0.114812        0.464673 
          0.005        0.263213     0.000517316        0.151562       0.0250714        0.126491 
          0.005         47.7945       0.0939348        0.946297        0.149113        0.797907 
          0.008        0.860496      0.00105701        0.275216       0.0549361         0.22028 
         0.0001        0.569918       0.0560056         0.37854       0.0691713        0.309484 
          0.001        0.387311      0.00380609        0.226572       0.0398712        0.186701 
         0.0032        0.263213     0.000808306        0.157481       0.0258247        0.131657 
         0.0001          1.2662        0.124429        0.602586        0.120395        0.483247 
          0.008         6.41303      0.00787757        0.542942        0.101335         0.44161 
         0.0008        0.387311      0.00475761        0.232331       0.0407443        0.191587 
          0.002        0.263213      0.00129329        0.164542       0.0267445        0.137797 
          1e-05        0.569918        0.560056         0.47256       0.0877024        0.407905 
          0.005        0.860496      0.00169121        0.290685       0.0578736        0.232812 
          0.001        0.263213      0.00258658        0.176434       0.0283138         0.14812 
         0.0032         1.91178      0.00587093        0.435446       0.0885015        0.346946 
           0.01         108.956         0.10707        0.867348         0.11631         0.75178 
          0.008          72.163       0.0886427        0.879906        0.126988        0.753463 
         0.0001        0.387311       0.0380609        0.294708       0.0500678        0.244678 
          0.005          14.248       0.0280028        0.734665         0.13043        0.604287 
         0.0001         2.81314        0.276446        0.894781        0.185796        0.718305 
         0.0008        0.263213      0.00323322        0.180575       0.0288617        0.151714 
           0.01        0.584785     0.000574665        0.224261       0.0434533        0.180808 
           0.01         1.29923      0.00127674        0.317782        0.064221        0.253561 
          1e-05        0.387311        0.380609        0.372878       0.0620663         0.31731 
         0.0008         9.43662        0.115916        0.993264         0.19445        0.800281 
         0.0001        0.263213       0.0258658        0.225513       0.0347327        0.190792 
          0.002         4.24744       0.0208697        0.633525         0.12668        0.506873 
         0.0008          31.655         0.38884         1.38896        0.255748         1.16136 
         0.0032        0.860496      0.00264252        0.307103       0.0609726        0.246131 
           0.01        0.397414     0.000390537        0.183289       0.0336271        0.149662 
          1e-05        0.263213        0.258658        0.284236       0.0422057        0.243853 
          0.005         21.5124       0.0422803          0.8059        0.137517        0.668511 
          0.008        0.584785     0.000718331        0.229143       0.0442817        0.184861 
          0.002         1.91178      0.00939348        0.468934       0.0955457        0.373393 
           0.01        0.270079     0.000265405        0.146317        0.024713        0.121604 
          0.008        0.397414     0.000488171        0.186682       0.0341204        0.152561 
          0.008         1.29923      0.00159593        0.327316       0.0662014        0.261115 
          0.005         6.41303       0.0126041        0.599755        0.114158        0.485605 
          0.002        0.860496      0.00422803        0.326115       0.0645386        0.261577 
          0.008        0.270079     0.000331756        0.148628       0.0249874        0.123641 
          0.005        0.584785      0.00114933        0.240283       0.0461832          0.1941 
           0.01         2.88652      0.00283657        0.417028       0.0821728        0.334856 
          0.005        0.397414     0.000781074        0.194533       0.0352826        0.159251 
          0.005        0.270079      0.00053081         0.15406       0.0256573        0.128403 
          0.001         4.24744       0.0417394        0.721849        0.145861         0.57612 
          0.001        0.860496      0.00845605        0.357437       0.0703643        0.287075 
         0.0032        0.397414      0.00122043        0.203137       0.0365813        0.166555 
         0.0032        0.584785      0.00179583        0.252286       0.0482399        0.204046 
         0.0032        0.270079     0.000829391        0.160122       0.0264378        0.133684 
         0.0001         9.43662        0.927331         1.25176        0.305623         1.20758 
          0.001         1.91178        0.018787        0.523678        0.106912        0.416786 
          0.005         1.29923      0.00255349        0.348661        0.070597        0.278065 
          0.002        0.270079      0.00132703        0.167348       0.0273896        0.139958 
         0.0032          14.248       0.0437544        0.818832        0.148702        0.670279 
          0.002        0.397414      0.00195268        0.213281       0.0381285        0.175153 
         0.0032         47.7945        0.146773         1.07562        0.175338         0.90247 
          0.002        0.584785      0.00287333        0.266302       0.0506424         0.21566 
         0.0008        0.860496       0.0105701        0.368259       0.0723656        0.295897 
          0.001        0.270079      0.00265405        0.179512       0.0290115          0.1505 
          0.001        0.397414      0.00390537        0.230219       0.0407226        0.189497 
         0.0008         1.91178       0.0234837         0.54256        0.110806        0.431785 
         0.0008        0.270079      0.00331756        0.183745       0.0295773        0.154168 
         0.0032         6.41303       0.0196939        0.658479        0.127223        0.531281 
          0.001        0.584785      0.00574665        0.289532       0.0546126        0.234921 
         0.0001        0.860496       0.0845605        0.485355        0.093695        0.392024 
         0.0008        0.397414      0.00488171          0.2361        0.041622        0.194478 
         0.0001        0.270079       0.0265405        0.229695       0.0356405        0.194068 
         0.0032         1.29923      0.00398983        0.371059       0.0751487        0.295911 
          0.008         2.88652      0.00354571        0.433556       0.0859041        0.347652 
         0.0032         21.5124       0.0660629        0.904769        0.158518        0.746621 
         0.0008         4.24744       0.0521742        0.752344        0.152444        0.600118 
          1e-05        0.270079        0.265405         0.28965       0.0433633        0.248271 
         0.0001        0.397414       0.0390537        0.299826       0.0512234        0.248643 
          0.005          72.163        0.141828         1.01925        0.154157         0.86688 
         0.0008        0.584785      0.00718331         0.29757       0.0559816         0.24159 
          1e-05        0.860496        0.845605        0.563092        0.121941        0.526315 
           0.01         32.4807       0.0319186        0.719091        0.110874        0.608276 
           0.01        0.277124     0.000272328        0.148635       0.0252683        0.123367 
         0.0001         1.91178         0.18787        0.745674        0.152553        0.596365 
          0.008         108.956        0.133838        0.936951        0.129331        0.808943 
          1e-05        0.397414        0.390537        0.379304       0.0635897        0.322786 
         0.0001        0.584785       0.0574665        0.384671       0.0705795        0.314215 
           0.01         9.68278      0.00951521        0.568766        0.100651        0.468119 
          0.008        0.277124      0.00034041        0.151008       0.0255544        0.125453 
          0.002         1.29923      0.00638372        0.396805       0.0803266         0.31648 
           0.01        0.882943     0.000867663        0.271405       0.0543067        0.217098 
           0.01        0.407781     0.000400724        0.185904       0.0342598        0.151644 
          1e-05        0.584785        0.574665        0.479176       0.0896293        0.414612 
          0.005        0.277124     0.000544657        0.156577       0.0262506        0.130326 
          0.005         2.88652      0.00567313        0.470189       0.0940788        0.376112 
          0.008        0.407781     0.000500905        0.189384       0.0347717        0.154612 
          0.002         6.41303       0.0315103         0.72553        0.141994        0.583608 
          0.002          14.248        0.070007        0.915252        0.169547        0.746151 
         0.0032        0.277124     0.000851026        0.162783       0.0270593        0.135723 
         0.0001         4.24744        0.417394         1.06124        0.224205          0.8662 
          0.001         1.29923       0.0127674        0.439002       0.0887138        0.350296 
           0.01         1.96165       0.0019277        0.368677       0.0740187        0.294659 
          0.008        0.882943      0.00108458        0.278403       0.0556495        0.222754 
           0.01        0.600039     0.000589655        0.227112       0.0441267        0.182986 
          0.005        0.407781     0.000801448        0.197426       0.0359748        0.161451 
          0.002        0.277124      0.00136164        0.170186        0.028044        0.142142 
          0.001        0.277124      0.00272328        0.182626       0.0297195        0.152906 
         0.0032        0.407781      0.00125226        0.206226        0.037316         0.16891 
          0.008        0.600039     0.000737069        0.232111        0.044983        0.187128 
          0.005        0.882943      0.00173533         0.29419       0.0586674        0.235523 
         0.0008        0.277124       0.0034041        0.186956       0.0303038        0.156652 
          0.002         21.5124        0.105701         1.01818        0.182633        0.836677 
         0.0008         1.29923       0.0159593        0.453569        0.091589        0.361992 
          0.002         47.7945        0.234837         1.22254        0.205824         1.02388 
         0.0032         2.88652      0.00886427        0.508159         0.10241        0.405754 
          0.002        0.407781      0.00200362        0.216598       0.0389115        0.177686 
         0.0001        0.277124       0.0272328        0.233926       0.0365618        0.197378 
          0.005        0.600039      0.00117931        0.243506       0.0469437        0.196562 
          0.008         1.96165      0.00240963         0.38153       0.0768382        0.304692 
          1e-05        0.277124        0.272328        0.295138       0.0445439        0.252754 
