# === Perturbative settings ===
# Settings: lopc (scheme), lobk, balsdrc
# Use masses: true, scheme:3
# Use LOBK (DL,SL==false): true
# Use ResumBK (DL,SL==true,KC_NONE): false
# Use NLOBK (DL,SL==true,KC_NONE,NO_K2==false): false
# KinematicalConstraint / target eta0 BK: 2 (0 BEUF_K_PLUS, 1 EDMOND_K_MINUS, 2 NONE)
# Target eta0 RHO shift: 0 (0 TRBK_RHO_DISABLED, 1 TRBK_RHO_QQ0, 2 TRBK_RHO_RQ0)
# Running Coupling: (RC_LO):    4 (0 fc, 1 parent, 2 parent_beta, 3 smallest, 4 balitsky, 5 frac, 6 guillaume)
# Running Coupling: (RC_NLO):    2 (0 fc, 1 parent, 2 smallest)
# Running Coupling: (RESUM_RC): 3 (0 fc, 1 balitsky, 2 parent, 3 smallest, 4 guillaume)
# Running Coupling: (RC_DIS):   2 (0 fc, 1 parent, 2 smallest, 3 guillaume)
# Use NLOimpact: false
# Use SUBscheme: false
# Use Sigma3: false
# Use improved Z2 bound: true
# Use Z2 loop term: false
# Cuba MC: vegas, Cuba eps = 0.001, Cuba maxeval = 1e+08, Cuba perf scheme = 0
# config::INTACCURACY = 0.01, config::RPOINTS = 100, config::DE_SOLVER_STEP = 0.4, config::{MINR, MAXR}, nlodis_config::{MINR, MAXR} = 1e-06 30 1e-06 30
16
# === Initial parameters ===
# qs0sqr=0.104, alphas_scaling=14.5, gamma=1, e_c=1, icx0_nlo_impfac=1, icx0_bk=0.01, icY0=0, icTypPartonVirtQ0sqr=1, sigma02=48.4781, q_mass_c=1.4, q_mass_b=4.9
# Previously saved dipole file found: ./out/dipoles/dipole_lobk_balsdrc_x0bk0.010000_qs0sqr0.104000_asC^214.500000_gamma1.000000_ec1.000000_eta00.000000_maxy16.118096_euler0_step0.400000_rpoints100_rminmax0.000001--30.000000_intacc0.010000
# pr_r*=std::pow((nlodis_config::MAXR/nlodis_config::MINR),1/500.)
          # xbj               r        S(r,xbj)
# printing dipole at xbj=0.01
# printing dipole at xbj=0.002
# printing dipole at xbj=0.001
# printing dipole at xbj=1e-05
# printing dipole at xbj=1e-07
# Using smallest dipole RC
z2_min scheme is improved z2min(Q^2) ~ 1/Q^2
# Using Z2SIM LO rapidity -- simple Q^2 independent z2min scheme in LO rapidity (not using sub && z2imp)
# Using projectile Y evolution rapidity
# TRBK RHO is TRBK_RHO_DISABLED
# === Computing Reduced Cross sections ===
          # xbj             Q^2               y         sigma_r           FL_LO           FT_LO 
          0.002         1.96165      0.00963852        0.502208       0.0898059        0.412406 
           0.01        0.600039     0.000589655        0.206499       0.0365138        0.169986 
          0.002         1.29923      0.00638372        0.408839         0.07318        0.335661 
          1e-05        0.263213        0.258658        0.324385       0.0434353        0.282825 
          0.001         2.88652       0.0283657        0.697707        0.124138         0.57362 
          0.002        0.882943      0.00433832        0.333521       0.0590992        0.274422 
          0.002         9.68278       0.0475761         1.01836        0.179305         0.83927 
           0.01         32.4807       0.0319186        0.995998        0.168254        0.827833 
           0.01        0.397414     0.000390537        0.165005       0.0279178        0.137087 
          0.002        0.600039      0.00294828        0.268689       0.0463816        0.222308 
          0.002         47.7945        0.234837         1.78673        0.317218         1.48054 
           0.01        0.270079     0.000265405        0.131187       0.0206921        0.110495 
          0.001         1.29923       0.0127674        0.465046       0.0827793        0.382274 
           0.01         4.35824      0.00428282        0.498658       0.0861948        0.412464 
          0.001         6.41303       0.0630205         1.00919        0.178852        0.830719 
          0.002        0.397414      0.00195268        0.209984       0.0344187        0.175565 
          0.001        0.882943      0.00867663        0.376332        0.066126        0.310209 
          0.001          14.248        0.140014         1.40625        0.251642         1.15745 
          0.001         1.96165        0.019277        0.576137        0.102798        0.473358 
          0.002        0.270079      0.00132703        0.163823       0.0248812        0.138942 
          0.001        0.600039      0.00589655        0.300838       0.0513508        0.249488 
           0.01         2.96182      0.00291056        0.427568       0.0750222        0.352546 
          0.001        0.397414      0.00390537        0.233287       0.0377168        0.195571 
          0.002          72.163        0.354571         2.00611        0.356532         1.68122 
          1e-05        0.882943        0.867663        0.681051        0.127037        0.648007 
          0.001        0.270079      0.00265405        0.180803       0.0270285        0.153775 
           0.01         1.33312      0.00131005        0.303877       0.0547625        0.249114 
          1e-05        0.600039        0.589655        0.567854       0.0935248        0.502161 
          0.001         9.68278       0.0951521         1.20369        0.214089        0.990665 
          1e-05        0.270079        0.265405        0.330711       0.0446113        0.288141 
          1e-05        0.397414        0.390537        0.436805       0.0651317        0.378917 
          0.001         21.5124        0.211401         1.64132        0.295953         1.35352 
          0.002         4.35824       0.0214141        0.727389        0.128422        0.598997 
          0.002         108.956        0.535352         2.19945        0.395869         1.89689 
           0.01        0.905975     0.000890296        0.253809       0.0457211        0.208088 
           0.01        0.615692     0.000605037        0.209282       0.0370744        0.172208 
           0.01        0.277124     0.000272328        0.133301       0.0211428        0.112158 
          0.002         2.96182       0.0145528        0.610629        0.108489        0.502152 
