# qsq, xbj, y, sigmar, sig_err, staterruncor, tot_noproc, relative_err
0.35 0.0005 0.006917 0.2398 0.00817636468 2.5204 1.4168 3.40966
1.5 0.0005 0.029644 0.54727 0.042225437755 2.515 7.0465 7.71565
2.0 0.0005 0.039526 0.57473 0.015652714077 1.1719 2.0376 2.72349
2.7 0.0005 0.05336 0.64484 0.011883047036 0.68833 1.3462 1.84279
3.5 0.0005 0.06917 0.74923 0.012365816381 0.75656 1.169 1.65047
4.5 0.0005 0.088933 0.79708 0.011836797416 0.83006 0.8853 1.48502
6.5 0.0005 0.12846 0.93276 0.015081236784 0.7459 1.1572 1.61684
8.5 0.0005 0.16798 1.0137 0.01485506391 0.81491 0.92649 1.46543
10.0 0.0005 0.19763 1.0581 0.02440285449 1.7782 1.1901 2.30629
12.0 0.0005 0.23715 1.1453 0.01297132421 0.53103 0.65295 1.13257
15.0 0.0005 0.29644 1.2068 0.01331510712 0.47289 0.64627 1.10334
18.0 0.0005 0.35573 1.2806 0.01489798816 0.59205 0.61458 1.16336
22.0 0.0005 0.43478 1.3823 0.02129391681 0.81933 0.98138 1.54047
27.0 0.0005 0.5336 1.4108 0.01884024644 0.70069 0.73699 1.33543
35.0 0.0005 0.6917 1.4719 0.0372479014 1.3847 1.9103 2.5306
