# qsq, xbj, y, sigmar, sig_err, staterruncor, tot_noproc, relative_err
200.0 0.18 0.021959 0.31895 0.02062770851 5.8223 2.2814 6.46738
250.0 0.18 0.027448 0.36092 0.01861246394 4.4738 2.0607 5.15695
300.0 0.18 0.032938 0.33547 0.019751534284 5.2215 2.2207 5.88772
400.0 0.18 0.043917 0.33931 0.021222958294 5.8353 1.6905 6.25474
500.0 0.18 0.054897 0.30352 0.026414343984 8.4447 1.4904 8.70267
650.0 0.18 0.071366 0.33851 0.032983297317 9.5181 1.4805 9.74367
800.0 0.18 0.087835 0.36312 0.04036369296 10.928 1.4605 11.1158
