# qsq, xbj, y, sigmar, sig_err, staterruncor, tot_noproc, relative_err
0.35 0.00013 0.026604 0.25726 0.00844751799 2.5271 1.4266 3.28365
1.2 0.00013 0.091213 0.54274 0.031246518732 2.4265 4.9658 5.75718
1.5 0.00013 0.11402 0.64584 0.020865669552 1.4637 2.4281 3.23078
2.0 0.00013 0.15202 0.72306 0.014556788532 1.1062 1.2985 2.01322
2.7 0.00013 0.20523 0.80497 0.01085743536 0.62276 0.87283 1.3488
3.5 0.00013 0.26604 0.91787 0.012320936158 0.65727 0.85665 1.34234
4.5 0.00013 0.34205 1.0204 0.01750067632 1.2038 0.91441 1.71508
6.5 0.00013 0.49407 1.1134 0.02141424488 1.084 1.3702 1.92332
