# qsq, xbj, y, sigmar, sig_err, staterruncor, tot_noproc, relative_err
200.0 0.25 0.0079051 0.2776 0.01630328144 3.5746 4.2015 5.87294
250.0 0.25 0.0098814 0.26745 0.01221572526 2.112 3.6829 4.56748
300.0 0.25 0.011858 0.26834 0.014042822548 2.1034 4.454 5.23322
400.0 0.25 0.01581 0.26134 0.004526173594 1.37 0.59623 1.73191
500.0 0.25 0.019763 0.26133 0.008606694486 2.0806 2.1629 3.29342
650.0 0.25 0.025692 0.24797 0.004749964538 1.5504 0.7518 1.91554
800.0 0.25 0.031621 0.25179 0.005205456102 1.7573 0.68867 2.06738
1000.0 0.25 0.039526 0.25532 0.008881408328 2.8736 1.7385 3.47854
1200.0 0.25 0.047431 0.2517 0.00489342555 1.7163 0.49738 1.94415
1500.0 0.25 0.059289 0.24839 0.006652753565 2.4016 0.88169 2.67835
2000.0 0.25 0.079051 0.24422 0.007382575224 2.7729 0.90304 3.02292
3000.0 0.25 0.11858 0.23086 0.007421179388 2.9647 0.95868 3.21458
5000.0 0.25 0.19763 0.22525 0.00832564545 3.4687 1.0076 3.69618
8000.0 0.25 0.31621 0.21655 0.011445771905 5.0316 1.3811 5.28551
12000.0 0.25 0.47431 0.15549 0.012188627865 7.64 1.4377 7.83885
20000.0 0.25 0.79051 0.12605 0.0150009584 11.419 3.0777 11.9008
