# qsq, xbj, y, sigmar, sig_err, staterruncor, tot_noproc, relative_err
90.0 0.18 0.0049407 0.34268 0.016065626564 3.057 3.0409 4.68823
120.0 0.18 0.0065876 0.33234 0.012849494058 2.3754 2.6888 3.86637
150.0 0.18 0.0082345 0.32437 0.011938891968 2.5589 2.1895 3.68064
200.0 0.18 0.010979 0.34253 0.004495740503 0.86211 0.32759 1.31251
250.0 0.18 0.013724 0.33173 0.004627169078 0.85563 0.64743 1.39486
300.0 0.18 0.016469 0.3272 0.0043434164 0.94956 0.39244 1.32745
400.0 0.18 0.021959 0.31959 0.010358774793 1.8206 2.4005 3.24127
500.0 0.18 0.027448 0.31275 0.007608550725 1.7152 1.5038 2.43279
650.0 0.18 0.035683 0.33431 0.008542890878 1.9153 1.4651 2.55538
800.0 0.18 0.043917 0.3313 0.00918691587 2.2199 1.449 2.77299
1000.0 0.18 0.054897 0.3133 0.00942669572 2.5978 1.2976 3.00884
1200.0 0.18 0.065876 0.32772 0.011060910492 3.0091 1.2937 3.37511
1500.0 0.18 0.082345 0.31309 0.007146247941 2.0795 0.54667 2.28249
2000.0 0.18 0.10979 0.29953 0.008071375004 2.5034 0.6358 2.69468
3000.0 0.18 0.16469 0.29823 0.009028823781 2.7766 0.89873 3.02747
5000.0 0.18 0.27448 0.28281 0.009006169293 2.9759 0.84536 3.18453
8000.0 0.18 0.43917 0.26745 0.01199304639 4.2795 1.0705 4.48422
12000.0 0.18 0.65876 0.22943 0.014404464291 6.0702 1.214 6.27837
