# qsq, xbj, y, sigmar, sig_err, staterruncor, tot_noproc, relative_err
200.0 0.13 0.030404 0.35199 0.019981697922 5.1257 1.891 5.67678
250.0 0.13 0.038005 0.37144 0.018019928728 4.4016 1.3905 4.85137
300.0 0.13 0.045607 0.36671 0.020299195379 5.0901 1.5406 5.53549
400.0 0.13 0.060809 0.42742 0.024307631852 5.3569 1.2404 5.68706
500.0 0.13 0.076011 0.40988 0.031876818468 7.5133 1.3505 7.77711
650.0 0.13 0.098814 0.37402 0.035708400038 9.3309 1.4104 9.54719
800.0 0.13 0.12162 0.3879 0.0418602285 10.596 1.4304 10.7915
