# qsq, xbj, y, sigmar, sig_err, staterruncor, tot_noproc, relative_err
250.0 0.4 0.0061759 0.14096 0.01622675136 9.2018 6.8001 11.5116
300.0 0.4 0.0074111 0.15709 0.006726499546 2.1716 3.2849 4.28194
400.0 0.4 0.0098814 0.15657 0.00673360599 2.512 3.0012 4.3007
500.0 0.4 0.012352 0.14869 0.02868914074 14.88 11.983 19.2946
650.0 0.4 0.016057 0.12565 0.007551276005 4.7515 3.3307 6.00977
800.0 0.4 0.019763 0.14051 0.008928693899 4.7137 3.8518 6.35449
1000.0 0.4 0.024704 0.13688 0.009238400776 5.1319 4.0164 6.74927
1200.0 0.4 0.029644 0.12513 0.005476902561 3.2534 1.1487 4.37697
1500.0 0.4 0.037055 0.12966 0.007093802328 4.3413 1.389 5.47108
2000.0 0.4 0.049407 0.12339 0.006177495672 4.6026 1.5842 5.00648
3000.0 0.4 0.074111 0.13087 0.006670823423 4.5968 1.8966 5.09729
5000.0 0.4 0.12352 0.13002 0.007235534988 5.1779 1.6474 5.56494
8000.0 0.4 0.19763 0.12136 0.00925861508 7.1976 2.218 7.62905
12000.0 0.4 0.29644 0.17141 0.014336132465 7.9133 2.3853 8.36365
20000.0 0.4 0.49407 0.20599 0.02061280133 9.6721 2.2359 10.0067
30000.0 0.4 0.74111 0.23073 0.03203985999 13.509 1.8491 13.8863
200.0 0.4 0.0049407 0.13952 0.010207938944 4.5988 4.3022 7.31647
250.0 0.4 0.0061759 0.142 0.0084261522 3.1101 3.9699 5.93391
300.0 0.4 0.0074111 0.159 0.006159819 1.7423 3.0324 3.8741
400.0 0.4 0.0098814 0.16017 0.0057549081 1.9612 2.4514 3.593
500.0 0.4 0.012352 0.17198 0.014377596792 5.0061 5.8588 8.36004
650.0 0.4 0.016057 0.14541 0.006428110788 3.2797 2.4905 4.42068
800.0 0.4 0.019763 0.13194 0.006378401808 3.684 2.6961 4.83432
1000.0 0.4 0.024704 0.13439 0.00772178062 4.5899 3.1088 5.7458
1200.0 0.4 0.029644 0.13115 0.003895509105 2.6074 1.0738 2.97027
1500.0 0.4 0.037055 0.12606 0.00477508977 3.3807 1.347 3.78795
2000.0 0.4 0.049407 0.1285 0.0054024741 3.7836 1.5648 4.20426
3000.0 0.4 0.074111 0.12438 0.005369994558 3.8117 1.7947 4.31741
5000.0 0.4 0.12352 0.12089 0.005653251604 4.3765 1.429 4.67636
8000.0 0.4 0.19763 0.10345 0.006749078 6.1253 2.0439 6.524
12000.0 0.4 0.29644 0.094955 0.0086288552105 8.5192 3.0401 9.08731
20000.0 0.4 0.49407 0.077991 0.012765098934 15.349 5.5499 16.3674
30000.0 0.4 0.74111 0.059638 0.014888149596 24.458 2.3351 24.9642
