# qsq, xbj, y, sigmar, sig_err, staterruncor, tot_noproc, relative_err
200.0 0.05 0.079051 0.52264 0.023713117552 4.1285 1.2305 4.53718
250.0 0.05 0.098814 0.49947 0.022885415718 4.1534 1.2605 4.58194
300.0 0.05 0.11858 0.51861 0.026335119522 4.7418 1.0804 5.07802
400.0 0.05 0.1581 0.56798 0.03130762558 5.2137 1.0304 5.5121
500.0 0.05 0.19763 0.5987 0.03731649204 5.9196 1.2908 6.23292
650.0 0.05 0.25692 0.48789 0.039427464258 7.8702 1.1206 8.08122
800.0 0.05 0.31621 0.47882 0.044087878202 9.0165 1.2306 9.20761
