# qsq, xbj, y, sigmar, sig_err, staterruncor, tot_noproc, relative_err
60.0 0.13 0.0045607 0.39468 0.0209259336 2.9515 3.8771 5.302
200.0 0.13 0.015202 0.36173 0.008820930742 1.2879 1.8443 2.43854
250.0 0.13 0.019003 0.36738 0.007099177644 0.98474 1.4478 1.93238
300.0 0.13 0.022803 0.37132 0.007742838904 1.0598 1.5875 2.08522
400.0 0.13 0.030404 0.36703 0.004871368972 0.93809 0.52619 1.32724
500.0 0.13 0.038005 0.37672 0.007888441456 1.5372 1.138 2.09398
650.0 0.13 0.049407 0.36151 0.005833469964 1.3106 0.517 1.61364
800.0 0.13 0.060809 0.35825 0.00631630575 1.4834 0.54713 1.7631
1000.0 0.13 0.076011 0.36188 0.010629428864 2.5357 1.2093 2.93728
1200.0 0.13 0.091213 0.36077 0.006283855783 1.5108 0.41273 1.74179
1500.0 0.13 0.11402 0.35463 0.008001055671 2.04 0.58507 2.25617
2000.0 0.13 0.15202 0.3623 0.00930034969 2.3627 0.65552 2.56703
3000.0 0.13 0.22803 0.35226 0.009597922542 2.4926 0.78659 2.72467
5000.0 0.13 0.38005 0.34268 0.010858809572 2.9451 0.88242 3.16879
8000.0 0.13 0.60809 0.30928 0.01266996448 3.84 1.0201 4.0966
12000.0 0.13 0.91213 0.21178 0.04348563452 19.863 5.0306 20.5334
